Comentario,Relacion_Video,Emocion,Emocion_Dominante
Lo único bueno es desagrado JAJAJA,Sí,Asco,Neutro
Esta un personaje de Smiling Friends,No,Neutro,Neutro
9:56 Banda medio metro y compañia xd,Sí,Alegría,Neutro
6:00 viendo memes,No,Neutro,Neutro
Encantan tus Videos❤😊,Sí,Alegría,Neutro
FALTO POPO DE PETER GRIFFIN,No,Ira,Neutro
9:43 Tristeza: toy muy tristeee alegria: q es eso son pañales?XD,Sí,Tristeza,Neutro
2:37 Hola tristeza qué tienes me fumé algo 😢😢,Sí,Tristeza,Neutro
Aqui es en donde pierdo mi sanidad mental,Sí,Tristeza,Neutro
Que tiene que ver Marge Simpson aquí,No,Sorpresa,Neutro
Primero digital circus luego bluey y ahora intentnsame,No,Neutro,Neutro
Drogadamente 2:❌️❌️  Intensamente  2:✅️✅️🤑👌,Sí,Sorpresa,Neutro
El único buen cosplay es el de desagrado y también se podría decir que verguenza,Sí,Asco,Neutro
4:27 la ralla es igual ha la pelicula,Sí,Neutro,Neutro
Intensamente fumado 2,Sí,Neutro,Neutro
"Cuánto hate, todo equilibrado como debe estar",Sí,Ira,Neutro
Esas emociones se metieron algo,No,Asco,Neutro
Memo le robó los oomps loompas a Willy Wonka,No,Asco,Neutro
sm,No,Neutro,Neutro
Continuamos 🤑👌,Sí,Alegría,Neutro
*bailan por alguna razon*,No,Preguntar/Confusión,Neutro
Confirmo,Sí,Neutro,Neutro
Es por el fallecimiento de nancy Mckenzi😣😓😢😭,No,Tristeza,Neutro
​ @glendblockehellracer4904  que sad😢😢,Sí,Tristeza,Neutro
Marge con martillo,No,Neutro,Neutro
Se parece más a marge que a alegría 😹,Sí,Sorpresa,Neutro
Opino lo mismo xd,Sí,Alegría,Neutro
apenas me voy dando cuenta jajj,Sí,Alegría,Neutro
De hecho 😂,Sí,Alegría,Neutro
Imagínate que ya es muy odiada,No,Ira,Neutro
"Las emociones de riley:❌
Las fumadas de riley:✅",No,Neutro,Neutro
Que hagan video de intensamente 3,Sí,Alegría,Neutro
La única buena es desagrado,No,Asco,Neutro
0:19 adonde la van a llevar 🤨😧,Sí,Asco,Neutro
Yo con mis colores me pintó la cara de intensamente me encanta intensamente,Sí,Alegría,Neutro
2:05 TENGO HEMORROIDES😡😡🗣🗣🗣🗣,No,Ira,Neutro
Vicio-Intenso 2 🥲,Sí,Neutro,Neutro
Me encanta tus videos ❤❤,Sí,Alegría,Neutro
Quién es desagrado?,No,Asco,Neutro
6:20 Palabras de doble sentido💀,Sí,Asco,Neutro
"""Espereeeen que ¿que esta haciendo el? Viendo memes continuamos""😂😂😂😂",No,Alegría,Neutro
Por qué secuestras a los enanitos memo 😢,Sí,Asco,Neutro
Segundo 0:25 😂,Sí,Alegría,Neutro
Jajajajaja que chistoso,Sí,Alegría,Neutro
Mi pregunta eterna es de donde saca tantos enanitos?,No,Curiosidad,Neutro
"Intensamente 2:❌️
Vicio intenso 2:✅️",Sí,Ira,Neutro
9:43 XD 😂😂😂😂,Sí,Sorpresa,Neutro
La más inteligente es desagrado,No,Asco,Neutro
Yo te pago la terapia memo pero para para 😭😭😭,Sí,Sorpresa,Neutro
A mi choza,No,Neutro,Neutro
Y8,No,Neutro,Neutro
💀,No,Asco,Neutro
💀,No,Asco,Neutro
💀,No,Asco,Neutro
De la fábrica de Willy Wonka,No,Sorpresa,Neutro
"Buen video, me gustó mucho",Sí,Alegría,Neutro
"cuando estas en decadencia:

el resultado:",No,Asco,Neutro
YO VI UNO EN TIK TOK JAJAJA 🗣‼️,No,Sorpresa,Neutro
Saludos desde Venezuela 🥺🇻🇪,No,Neutro,Neutro
Weon re trofeada estaría la mentalidad del sujeto que tenga a estos tipos como las emociones ☠,Sí,Ira,Neutro
Intensadroga 2,No,Neutro,Neutro
Eres de.  Perú o de. Otro país ❤,No,Neutro,Neutro
Te amo memo sigue así!!!!😂😂😂,Sí,Alegría,Neutro
Tú vas a entrar al cine pero en el cine yo vi una vez Yo vi una vez en el cine película de intensamente❤🎉,Sí,Alegría,Neutro
"Tienda antihate: 
Pistola: 1 like
Cuchillo : una carita 😊
Escopeta : 2 likes
Misil con envió gratis: 5 likes 
Porfavor evitemos el hate  se ven mal así  
Aver que pasaría que te mostrara que eres hater enfrente de tu mamá 👀",Sí,Ira,Neutro
Crikosamente 2,No,Neutro,Neutro
Uy por qué cuándo vienes conmigo escalofríos,Sí,Miedo,Neutro
Un video ma mi jente para perder el tiempo  con drogados💀👍,No,Asco,Neutro
Anexados 2,No,Neutro,Neutro
Trauma de por vida😣,Sí,Tristeza,Neutro
Desagrado si se ve bonita 😿,Sí,Asco,Neutro
Desagrado lleva grado xd,No,Sorpresa,Neutro
Puedo utilizar este video para un vídeo mío XD?,Sí,Alegría,Neutro
Un Creepypasta mal adaptado,No,Asco,Neutro
El que lo grabó ☠️☠️☠️,No,Ira,Neutro
X2,No,Neutro,Neutro
X3,Sí,Neutro,Neutro
x4,No,Neutro,Neutro
X5,No,Neutro,Neutro
X6,No,Neutro,Neutro
X7,No,Neutro,Neutro
X8,No,Neutro,Neutro
×9,No,Neutro,Neutro
Le mostré eso a mi abuela y ahora está en coma😂🗿,Sí,Alegría,Neutro
Y ansiedad también 😂🗿,Sí,Ira,Neutro
3:07 👀 furia?,Sí,Ira,Neutro
Sal de mi mente porfa2,No,Asco,Neutro
"El ""estoy triste * se mata * se la llevan *"" y el ""me encanta tu pelona"" y el ""¡NOOO🐓🐓🐓🐓¡",Sí,Asco,Neutro
"Alegria: vamos a gritar😊
La señora:☠",Sí,Alegría,Neutro
El de desagrado está aceptable,No,Neutro,Neutro
Intensos polvos 2,No,Neutro,Neutro
Intenso y dr0g4d0 2,Sí,Neutro,Neutro
Si,Sí,Sorpresa,Neutro
Los únicos buenos cosplays son de desagrado y nostalgia xd,Sí,Sorpresa,Neutro
Ya duermenlo,No,Ira,Neutro
2:18 Furia haciendo gargaras,Sí,Ira,Neutro
Intensa-mente dr%gado 2,Sí,Asco,Neutro
A Memo le quedaría mejor el de Ansiedad 🤷🏻‍♂️,Sí,Sorpresa,Neutro
La película Se llama Vico en mi mente 2,No,Neutro,Neutro
Fumada intensa 2,No,Neutro,Neutro
Los weones 2,No,Neutro,Neutro
Eso más parece vicio en mi mente 2,Sí,Sorpresa,Neutro
Aquí los que vienen del vídeo de pablosts😂,Sí,Alegría,Neutro
Vengo del vídeo de johan 🗿,Sí,Neutro,Neutro
😮😮😢🎉😂😂😂😂😅😮😮😮 soy tu fan ❤❤,Sí,Alegría,Neutro
Pudieron usar guantes de colores,Sí,Neutro,Neutro
así se antoja más la desagrado,Sí,Asco,Neutro
Aterrador 😮,Sí,Miedo,Neutro
Yo digo que lo denunciemos y digamos que es terrorismo 🗿🚬,No,Ira,Neutro
Desagrado esta igual de buena 🗿,Sí,Sorpresa,Neutro
Ta bueno solo que me callo mal la ansiedad,Sí,Tristeza,Neutro
3:27 intensapobretud 🤑,Sí,Sorpresa,Neutro
Hierba intensa 2,Sí,Neutro,Neutro
Haz Un  Video de Desagrado y Temor Besándose Por favor 🙏,Sí,Sorpresa,Neutro
¿Cuando vas a parar memo?.... ¿¡CUANDO!?,No,Ira,Neutro
Eso vv alocate 🫦🫦,Sí,Alegría,Neutro
Desagrado❤🦄❤️🧡💛💙💚💜🦄,No,Asco,Neutro
Aquí a los que lo apoyan,Sí,Alegría,Neutro
La única que se rescata es desagrado,Sí,Asco,Neutro
"Intensamente:✖️
Vicio intenso:👍🤪",Sí,Sorpresa,Neutro
3:11 ❌ esquizofrenia ✅,Sí,Sorpresa,Neutro
internados 2,No,Neutro,Neutro
Intensamente 2 ª:❌Sal de minete 2 ☑️,Sí,Neutro,Neutro
se arranca los ojos,No,Asco,Neutro
Material para el kasaneru,No,Neutro,Neutro
Memo por lo menos se pudo haber disfrazado de hombre :v,Sí,Ira,Neutro
 @vicxd_jejejeje  exacto,Sí,Alegría,Neutro
Concuerdo,Sí,Neutro,Neutro
🚬🗿,No,Neutro,Neutro
Yo me apunto 🗿🚬,No,Neutro,Neutro
yo también,No,Neutro,Neutro
Yo también 🗿🚬,No,Neutro,Neutro
Ya lo hice caballeros 🚬🗿,Sí,Neutro,Neutro
"Fetichismo con los enanos??
😢😢",No,Asco,Neutro
digo lo mismo,No,Neutro,Neutro
🚬🗿,No,Neutro,Neutro
Me apunto 🚬🗿,No,Asco,Neutro
Estoy de acuerdo,Sí,Neutro,Neutro
Ufff buenísima idea 🚬🗿,Sí,Alegría,Neutro
Seeee,Sí,Alegría,Neutro
"Q pedo, me apunto",No,Neutro,Neutro
Y trauma,Sí,Miedo,Neutro
Donde firmo?,No,Neutro,Neutro
Apoyo la causa 🗿🗿🗿☕️,No,Neutro,Neutro
Apoyo la causa. 🗿🗿🗿☕️,No,Neutro,Neutro
Yo me apunto🗿🍷,No,Neutro,Neutro
Exelente idea,Sí,Alegría,Neutro
🌚,No,Neutro,Neutro
Si....un poco sospechoso,No,Sorpresa,Neutro
Ansiedad encantan,Sí,Alegría,Neutro
4:28 💀,Sí,Asco,Neutro
TODOS VIENEN DE TIKTOK😭,Sí,Asco,Neutro
3:06  ansiedroggada🤑🫵,Sí,Ira,Neutro
Lo único normal es desagrado,No,Ira,Neutro
Pasen name de desagrado 🥺🥵,Sí,Asco,Neutro
Memo luego puedes hacer el de una serie de anime que se llama Demon Slayer  porfiss❤❤❤,Sí,Alegría,Neutro
1:02 porque todos son enanos🙃,No,Asco,Neutro
Helado misterioso de La Isla votu 🤑,No,Neutro,Neutro
Intensa mente 2❌                        Vicio intenso 2✅,Sí,Asco,Neutro
oye memo ve a terapia me preocupas😰,No,Preocupación,Neutro
Desde cuando Memo tiene 6 enanos 💀💀💀,No,Asco,Neutro
Q se apiaden de nuestras almas,Sí,Tristeza,Neutro
Pasame tu tarjeta de enanocard quiero comprar unos enanos para mis que haceres del hogar :v,No,Asco,Neutro
Drogadamente2 😜🤪,No,Alegría,Neutro
1:05 tantos amigos chiquitos XDD,Sí,Alegría,Neutro
Drogadasintensas2,No,Neutro,Neutro
Solo sé que me dió cáncer de ojos,No,Asco,Neutro
Memo quiero que te vistas de Spunky,No,Neutro,Neutro
Ansiedad parace de película de terror,Sí,Miedo,Neutro
Si tiene el mejor outfit xd,Sí,Alegría,Neutro
Esta el Netflix ❤😊,No,Alegría,Neutro
Memo Trafica Enanos,No,Asco,Neutro
Yo sé la pago 🤚🗿,Sí,Sorpresa,Neutro
Se los robó al Willy Wonka😂🗿,No,Alegría,Neutro
Desde que se los vendí,No,Asco,Neutro
 @Operator_TF141  me vendes uno?,No,Neutro,Neutro
​ @Operator_TF141  A que precio están 🤑?,No,Neutro,Neutro
Pregunta seria ¿Cuanto cuesta rentar a un enanito? Es para una tarea 😐,No,Neutro,Neutro
Intensa la loquita del centro,Sí,Asco,Neutro
2:40 se parte la columna epicamente,Sí,Sorpresa,Neutro
Intensamentesquizofrenico,No,Asco,Neutro
"Intensamente 2 ❌
El Vicio Intenso 2 ✅",Sí,Sorpresa,Neutro
Intensadroga 2,No,Sorpresa,Neutro
"Intensamente2:🚫
Sal de mi mente2:👍",Sí,Asco,Neutro
LA UNICA EMOCION QUE SE VOLVIÓ  LOCA ES ANSIEDAD,Sí,Ansiedad,Neutro
"Aquí los que solo vinieron por desagrado
👇",No,Ira,Neutro
Me voy a recuperar tu dignidad huele con la otra,No,Ira,Neutro
Ta piola👍 tu disfraz de Marge Simpson,Sí,Alegría,Neutro
INTENSADROGA,No,Neutro,Neutro
Intensamente ❌                                                    vicio intenso✔️,Sí,Sorpresa,Neutro
Ansiedad: ¡Esperen un momento!,Sí,Sorpresa,Neutro
3:17 soy la única que en la tele vio a nostalgia,Sí,Sorpresa,Neutro
Las emociones de  intensadrogamentes,Sí,Sorpresa,Neutro
Ta chido vicio intenso 2,Sí,Alegría,Neutro
Esa cosa es la película de sol de mi mente 2,No,Neutro,Neutro
Grande Santiboy,No,Neutro,Neutro
La verdadera película de  intsamente 2,Sí,Neutro,Neutro
Solo robaselos a Willy Wonka y quedan gratis 🗿🚬😎🤏,No,Alegría,Neutro
Yo los vendo en Afganistán,No,Neutro,Neutro
3000,No,Neutro,Neutro
🤨 eso me suena medio sospechoso,No,Asco,Neutro
¿Por qué?,No,Preguntas,Neutro
Las emociones,Sí,Neutro,Neutro
Vicio en mi mente,Sí,Miedo,Neutro
"Intensamente 2 :❌
Intenso vicio :✔️",Sí,Sorpresa,Neutro
Me espante con ansiedad XD,Sí,Miedo,Neutro
Planta intensa dos,Sí,Neutro,Neutro
"Intensamente 2 ✖️ 

Vicio eni mente 2 ✔️",Sí,Asco,Neutro
Riley y sus adicciones🎉,No,Sorpresa,Neutro
"Mr White:Jesse necesitamos más cluentes
Riley: * existe *
Mr white:",No,Asco,Neutro
Esto me dara pesadillas😧,Sí,Miedo,Neutro
0:09  con dijo desagradó,Sí,Ira,Neutro
Un cheto con pelos de panocha 3:07,No,Asco,Neutro
Sal de mi mente 2😂😂😂😂,Sí,Alegría,Neutro
Las emociones de Riley en vicio intenso 2,Sí,Asco,Neutro
La película de intensamente 2 solo en cines,Sí,Neutro,Neutro
La cara de la señora en el elevador😂,No,Alegría,Neutro
Así es como @CoversIA ve a Desagradoxdxdxd,Sí,Sorpresa,Neutro
Ese es vicio intenso 2,Sí,Sorpresa,Neutro
3:58 QUE LOCURA ESTOY VIENDO JSJA,Sí,Sorpresa,Neutro
es vicio intenso,Sí,Asco,Neutro
Ya denle gotitas para dormir a ese memo. 😅,No,Ira,Neutro
La sentí intensa 2:,Sí,Sorpresa,Neutro
Puuuuuuuuuuuuutoooooooooossssss😂😂,Sí,Alegría,Neutro
me gustan tus videos❤,Sí,Alegría,Neutro
Se iso canon el vicio intenso 2,Sí,Asco,Neutro
Maldita mente dos,Sí,Ira,Neutro
A mi me gusta nostalgia,Sí,Nostalgia,Neutro
Mente intensa,Sí,Sorpresa,Neutro
0:07 Más adelante,No,Neutro,Neutro
Yo soy René y con mi mamá Ashly,No,Neutro,Neutro
5:55 viendo memes jajajajaja,No,Alegría,Neutro
Nada mas estoy esperando a the kasaneru a que saque su parodia,Sí,Sorpresa,Neutro
Te imaginas que se le salga un pedo xdd🤑🤑🤑,No,Sorpresa,Neutro
Es toes cine🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,Sí,Alegría,Neutro
2:40 tritesa modo pal piso loco🤑🤑,Sí,Alegría,Neutro
❤❤❤❤❤❤❤,Sí,Alegría,Neutro
Debería llamarse sal de mi cabeza 2,Sí,Alegría,Neutro
Cuanto por el Bulldog rojo?,No,Neutro,Neutro
Nueva emocion de :  trauma videografico,Sí,Asco,Neutro
Soy.  Su.  Más.   Rande.  Fan🎉,No,Alegría,Neutro
3:53 me encanta tu peinado 🗿,No,Alegría,Neutro
352me encata  tu pelona   ❤😊🎉😮😊🎉😢,Sí,Alegría,Neutro
"Intensamente 2: ✖️
Vicio intenso 2: ✔️",Sí,Neutro,Neutro
Me dio risa cuando se cayó  la  abuela 😂😂😂😂😂😂😂😂😂,Sí,Alegría,Neutro
Vivís en argentina 🇦🇷,No,Neutro,Neutro
Hola memo❤❤❤,No,Amistad,Neutro
❤,Sí,Alegría,Neutro
Xd😂 furia y temor tristeza,Sí,"Ira, Miedo, Tristeza",Neutro
Pasen name de desagrado xfa,No,Neutro,Neutro
"Intensamente 2: ❎
Drogadamente 2: ✅",Sí,Neutro,Neutro
Que bueno,Sí,Alegría,Neutro
ES ALEGRIA,Sí,Alegría,Neutro
Te gustó el día que hiciste como el día que que te disfrazaste de la familia madrigal y este de intensamente 2,Sí,Alegría,Neutro
Megusta mucho 😂😂😂,Sí,Alegría,Neutro
Jaja los ojos de tristeza😂😂😂😂😂😂😂😂😂😂,Sí,Alegría,Neutro
Pito qué lindo el disfraz de desagrado,Sí,Sorpresa,Neutro
Furia: Y siempre estoy enojado,Sí,Ira,Neutro
"Intensamente 2:❌
Riley sin papas 2:✅",Sí,Asco,Neutro
"Ryle y sus emociones ❌
Ryle y sus adicciones ✔",Sí,Ira,Neutro
memo ase.  El reto dele fentalino,No,Neutro,Neutro
4:28 😂😂 4:31 4:38 jaja,Sí,Alegría,Neutro
Alegria se parese a marchs simpson😂,Sí,Alegría,Neutro
saluditos memo:hand-pink-waving:,No,Neutro,Neutro
Cuando sale intensamente 3,Sí,Sorpresa,Neutro
1:37 Yo soy Alegría,Sí,Alegría,Neutro
Intensa mente en la vida real,Sí,Asombro,Neutro
Estoy enamorado de desagrado,Sí,Asco,Neutro
esto es vicio intenso 2,Sí,Sorpresa,Neutro
"Intensamente 2:❌❌
Insanamente 2:✅✅👽👽👽",Sí,Sorpresa,Neutro
Yo estoy muy triste ame😂😂,Sí,Tristeza,Neutro
todos las noches vengo a este video para dormir sabroso y tocarme un poco jeje me gusta el enano panzon rojo,Sí,Alegría,Neutro
3:10 Ansiedad,Sí,Miedo,Neutro
Aburrimiento: Todos los días estoy en mi celular viendo memes: Mira este de Ángela Guilar.,No,Sorpresa,Neutro
Vicio intenso,Sí,Asco,Neutro
Sal de mi mente 😂😂😂😂😂😂😂😂😂😂,Sí,Alegría,Neutro
4:27 es verguiza,Sí,Ira,Neutro
Sal en mi mente 2,No,Sorpresa,Neutro
ASI ME GUSTAN,Sí,Alegría,Neutro
Creo que me quedare trauma da de por vidaxdxdxdxdxdxdxdxdxdxdxdxdx😅,Sí,Asco,Neutro
"Memo, medícate por favor",No,Ira,Neutro
Que,No,Neutro,Neutro
Quiero llevar tigres al estreno de intensamente 2,Sí,Alegría,Neutro
en el minuto 4:26 es mi parte fav del video y espero me comprendan porque en efecto esto es cine,Sí,Sorpresa,Neutro
Pov:compras una película pirata del tianguis de intensamente 😂,Sí,Sorpresa,Neutro
4:25 emocion gula wey,Sí,Asco,Neutro
"Ellos son añegria , destreza ,ensalzado , jemor , furro , ancieded ,envedie , eñnui , embarazamiento y fostalia",Sí,Sorpresa,Neutro
El vicio intenso 2😂😂😂😂,Sí,Alegría,Neutro
❤,Sí,Alegría,Neutro
Yo fui a verla pelicula,No,Neutro,Neutro
"Intensamente 2:🚫

DROGAINTENSA🤑:✅️",Sí,Ira,Neutro
El vicio está intenso,Sí,Sorpresa,Neutro
"Alegria:❌ 
Alergia:✔",Sí,Asco,Neutro
"Ansiedad  o auxiliar 
Alegría o cacalia 
Desagrado o desagrado ❤
Tristeza o tiñesa 
Temor o tonmor 
Ennui O ecui 
Vergüenza o veñueza
Envidia o endiñia
Nostalgia o nocaquia 
Furia o furo",Sí,Neutro,Neutro
Pero los mejores de todos😂,Sí,Alegría,Neutro
Mi mente viciosa 2😂😂😂😂😂😂,Sí,Alegría,Neutro
Me encantan tus cosplay,Sí,Alegría,Neutro
Vicio intenso 2,Sí,Sorpresa,Neutro
Pov yo y mi compa cundo me junto con los dela esclina,No,Neutro,Neutro
"Intensamente 2❌
Viciointenso 2✅",Sí,Sorpresa,Neutro
6:06😊,Sí,Alegría,Neutro
"Aver, estoy viendo intensa mente 2 o vicio intenso 2??",Sí,Pregunta/Confusión,Neutro
WOW 😮😮😮😮❤❤❤,Sí,Alegría,Neutro
Mi amigo la cara de Furia un celu,Sí,Sorpresa,Neutro
Org1a-Mente 2,No,Neutro,Neutro
1:45 💛❤️💚💙💜🧡🩵🩷💜,No,Alegría,Neutro
"Santa Riley 

😊😊😊",No,Alegría,Neutro
AMO,Sí,Alegría,Neutro
Siiiiiiiiiiiìiìiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii😊😊😊😊😊😊,Sí,Alegría,Neutro
Buscado fentanilo 2,No,Neutro,Neutro
Intenso visió 😂,Sí,Alegría,Neutro
CREO QUE VOY A TENER PESADILLAS CON ANCIEDAD:eyes-purple-crying:,Sí,Tristeza,Neutro
Compré intensamente 2 en el tianguis 😞,Sí,Tristeza,Neutro
Intensa Mentedrogada 2,Sí,Sorpresa,Neutro
Lamentablemente 2 solo en cines,Sí,Ira,Neutro
Mi vició intenso 2 😂😂😂,Sí,Alegría,Neutro
Me     gusta,Sí,Alegría,Neutro
Minuto 7:02 es la esena eliminadabde intensa mente 2,Sí,Neutro,Neutro
Nuevo seguirdor:D,No,Neutro,Neutro
Vicio intenso 2,Sí,Sorpresa,Neutro
2:16 lo dijo con toda la sinceridad del mundo 🚬🗿,Sí,Sorpresa,Neutro
😊,Sí,Alegría,Neutro
"alguien acompañeme a llevarlo a su terapia
🗿",Sí,Sorpresa,Neutro
Vicio intenso 2,Sí,Neutro,Neutro
Vicio intenso 2 😂,Sí,Sorpresa,Neutro
Y quiero poner unas tarántulas en la función de intensamente 2,Sí,Sorpresa,Neutro
Vicio en mí mente 2,Sí,Sorpresa,Neutro
❤imprudencia 🎉😮😅😊😢😂❤,Sí,Sorpresa,Neutro
que le paso a la ansiedad 🧐🧐,Sí,Tristeza,Neutro
Lindo,Sí,Alegría,Neutro
La Bos de ansiedad si parece la bos de bardad de la peli😊,Sí,Alegría,Neutro
Me encanta intensamente me encantó tu video❤❤❤❤❤😊😊😊😊😊😊😊,Sí,Alegría,Neutro
Como CONSEGUISTE LA NA (Emmmmm,Sí,Alegría,Neutro
Me.               Gusta.              Tus.               Videos.      😊,Sí,Alegría,Neutro
Dryly is that in a carousel status😢,Sí,Asco,Neutro
EL.  COSPLAY. DE   ENVIDIA,Sí,Asco,Neutro
"Ansiedad ❌

Esquizofrenia ✅",Sí,Miedo,Neutro
Traumasente 2 vamos ya me pertube otra vez,Sí,Alegría,Neutro
Nueva emoción desbloqueada:???,Sí,Sorpresa,Neutro
Mifaforito es furia,Sí,Ira,Neutro
"Intensamente 2❌
Saldemimente 2✅",Sí,Neutro,Neutro
❤️❤️❤️❤️❤️❤️❤️,Sí,Alegría,Neutro
Wtf XDD😂😂😂😂😂😂😂😂😂😂,Sí,Alegría,Neutro
alguien llévelo a terapia 🗿,No,Asco,Neutro
❤ intensamente 2,Sí,Alegría,Neutro
Intenso Vicio 2 😂😂😂,Sí,Alegría,Neutro
"Intensamente dos❌


Intensamenteesquizo dos✅",Sí,Sorpresa,Neutro
La intensa draga 2,Sí,Sorpresa,Neutro
💛💙💜💚❤️,Sí,Alegría,Neutro
Sal de mi mente 2 😂😂😂😂,Sí,Alegría,Neutro
Ansiedad?,Sí,Miedo,Neutro
Vicio intenso 2,Sí,Asco,Neutro
Alegría viene con doble regalo 🤨,No,Sorpresa,Neutro
Sida en mi mente 2,No,Neutro,Neutro
Intensa mente 2 ❌mentedrogada ✔️,Sí,Asco,Neutro
jajajaja que gracioso,Sí,Alegría,Neutro
Desagrado: Que osos😊😅,No,Sorpresa,Neutro
4:27 ☠️☠️☠️,Sí,Asco,Neutro
Me justa desagrabo😊🥵🥵🥵💓💓,Sí,Alegría,Neutro
Incluso ansiedad se ve mejor en la película que en este video,Sí,Ira,Neutro
Amo a ansiedad,No,Neutro,Neutro
Internados 2,No,Neutro,Neutro
4:27 XDDDDD,Sí,Alegría,Neutro
"❤❤❤❤❤❤❤❤❤❤
❤❤❤❤❤❤",Sí,Alegría,Neutro
XD pero allí se pasan,Sí,Alegría,Neutro
Terror psicológico:,Sí,Miedo,Neutro
"intensamente 2:❌
Latengointensa 2: ✅",Sí,Sorpresa,Neutro
Intensamente 2❌    Sal de mi mente 2✅,Sí,Asco,Neutro
"Railey y sus emociones :❌
Railey y sus adicciones :✔️",Sí,Asco,Neutro
"Intensamente 2 ❌
 Ya salgan de mi mente 2 ✅",Sí,Sorpresa,Neutro
insanamente 2,Sí,Sorpresa,Neutro
"Intensmente❌
Indrogamente👍",Sí,Sorpresa,Neutro
"Intensamente 2❌

Viciosamente 2✅",Sí,Sorpresa,Neutro
Riley luego de 70 porros:,No,Sorpresa,Neutro
"Intensamente ❌
Polvitos intensos✅",Sí,Ira,Neutro
El vicio intenso🤑,Sí,Ira,Neutro
Ta potente🗿,Sí,Sorpresa,Neutro
😂alegría separeseami,Sí,Alegría,Neutro
"Intensa mente❌
La fumada mente✅",Sí,Sorpresa,Neutro
Willi wonka estaría orgulloso🍷🗿,Sí,Sorpresa,Neutro
"En drogasmente 2:

Agrelia 🤑

Ejonardo 🤑

Tremor 🤑

Desgracia🤑

Triquesa 🤑

Nostraial 🤑

Enchida 🤑

Ansidod 🗿",No,Neutro,Neutro
Vicio intenso 2 🥵,Sí,Sorpresa,Neutro
Es adicto al enanísimo 😂,Sí,Alegría,Neutro
Drogamente 2 ❎ Intensamente 2 ✅,Sí,Neutro,Neutro
"""Porque estas tan enojado siempre😥?? Tengo hemorroides 😡""",No,Ira,Neutro
Drogadamente 2:la se cuela,Sí,Ira,Neutro
2:35 Soy Tristeza,Sí,Tristeza,Neutro
La q esta amarilla es alergia,No,Neutro,Neutro
Sal de mi mente 2,Sí,Sorpresa,Neutro
4:28 XDDDDDD,Sí,Alegría,Neutro
Ls mejor parte es 2:35,Sí,Neutro,Neutro
Envidia es la más rara😂,Sí,Alegría,Neutro
Cuanto por el pug rojo??,No,Asco,Neutro
6:02 y esos pasos insanos?,Sí,Sorpresa,Neutro
Quiero olvidar esto mejor me ire ver tornados,No,Ira,Neutro
2:06 Ahora les presento a Desagrado,Sí,Sorpresa,Neutro
Y guapo😂❤,Sí,Alegría,Neutro
Este vato lo ha vuelto a hacer y apenas me doy cuenta xd,Sí,Alegría,Neutro
Vicio intenso 2 xd,Sí,Sorpresa,Neutro
Vicio intenso 2,Sí,Sorpresa,Neutro
Vicio intenso 2 🥵,Sí,Asombro,Neutro
Sintantamente 2,Sí,Sorpresa,Neutro
Yo cuando me drogo😂,No,Alegría,Neutro
Sal de mi mente 2,Sí,Asco,Neutro
traumadamente 2 xD,Sí,Sorpresa,Neutro
Jajaja,Sí,Alegría,Neutro
What the f*** cómo hay siete emociones 7,Sí,Sorpresa,Neutro
"Mentedrogada 2 🤑🏄‍♂️🎄
Intensmente 2 😤👺🤖👹",Sí,Neutro,Neutro
Vicio intenso 2,Sí,Sorpresa,Neutro
Soy tu fan furia,Sí,Alegría,Neutro
Qué le está haciendo ir a temor,Sí,Ira,Neutro
Fernanda López ❤🎉🎉🎉,No,Alegría,Neutro
Cómo que en ves de intensamente es vicio en mi mente 2,Sí,Ira,Neutro
"intensamente 2 ✖
Biciointenso   2  ✔",Sí,Asco,Neutro
Vicio intenso 2,Sí,Neutro,Neutro
Vicio intenso 2,Sí,Neutro,Neutro
Vicio intenso 2,Sí,Neutro,Neutro
Vicio intenso 2,Sí,Neutro,Neutro
Vicio intenso 2,Sí,Asco,Neutro
1:58  😂😂😂,Sí,Alegría,Neutro
Vicio intenso 2,Sí,Asco,Neutro
Vicio intenso 2,Sí,Sorpresa,Neutro
"Intensamente 2

Intensalatam 2",Sí,Neutro,Neutro
Vicio intenso 2,Sí,Sorpresa,Neutro
Vicio intenso 2,Sí,Neutro,Neutro
Vicio intenso 2,Sí,Asco,Neutro
Sal de mi mente 2,Sí,Sorpresa,Neutro
Vicio intenso 2,Sí,Alegría,Neutro
Poner rojas Pacheco,No,Neutro,Neutro
Vicio intenso 2,Sí,Sorpresa,Neutro
Vicio intenso 2,Sí,Sorpresa,Neutro
Vicio intenso 2,Sí,Asco,Neutro
La rilie seguro desarrollo  la emoción trauma🗿💀,No,Neutro,Neutro
La rilie seguro desarrollo  la emoción trauma🗿💀,No,Asco,Neutro
crocosamente dos,No,Neutro,Neutro
Por qué alegría parece willy wonka con la gripe amarilla 😮☝️,Sí,Sorpresa,Neutro
Teamo,No,Neutro,Neutro
Temor: Y el mundo se va acabar,Sí,Miedo,Neutro
2:10 Yo soy Desagrado,Sí,Asco,Neutro
0:18,Sí,Neutro,Neutro
Sal De Mi Mente 2😲,Sí,Sorpresa,Neutro
El vicio intenso 2,Sí,Neutro,Neutro
